product_id,product_name,category,subcategory,supplier_id,unit_price,cost_price,weight_kg,is_active,created_at
39,Smart Books Range 1229,Books,Education,370,32.51,14.27,5.01,True,2020-12-20 05:49:45
40,Smart Toys Collection 8389,Toys & Games,Action Figures,925,29.31,15.43,18.37,False,2023-12-26 16:18:39
41,Value Clothing Series 5690,Clothing,Mens Tops,732,30.48,11.33,1.22,False,2020-12-21 14:31:03
42,Smart Toys Range 307,Toys & Games,Educational,150,114.01,56.29,13.88,True,2023-03-11 05:13:54
43,Essential Electronics Pack 6982,Electronics,Tablets,799,171.0,80.32,2.84,True,2023-03-05 00:30:08
44,Ultra Clothing Kit 8131,Clothing,Outerwear,721,35.64,15.16,7.75,True,2020-12-26 18:19:33
45,Eco Books Bundle 1829,Books,Education,640,35.66,14.13,4.91,True,2023-02-21 17:33:00
46,Smart Electronics Collection 7202,Electronics,Headphones,529,388.01,175.81,10.9,True,2020-01-30 01:19:25
47,Value Beauty Kit 6034,Beauty & Personal Care,Fragrance,881,44.01,27.76,12.09,True,2022-10-08 23:40:31
48,Elite Clothing Model 7632,Clothing,Outerwear,125,66.66,33.6,16.51,True,2022-07-13 22:09:33
49,Elite Books Model 2606,Books,Childrens,54,39.84,16.35,11.3,True,2023-11-14 03:06:27
50,Essential Home Set 7235,Home & Garden,Lighting,591,40.54,24.35,18.14,True,2022-03-18 10:02:14
51,Standard Sports Model 2985,Sports & Outdoors,Running,815,31.95,13.76,20.19,False,2019-07-16 20:22:51
52,Smart Electronics Series 8648,Electronics,Tablets,160,91.3,53.94,24.84,False,2020-11-18 08:09:22
53,Premium Electronics Range 4525,Electronics,TVs,156,112.15,39.81,3.18,False,2021-04-18 14:34:14
54,Value Food Edition 8917,Food & Grocery,Beverages,395,13.32,8.35,10.28,True,2022-07-16 11:16:16
55,Eco Clothing Pack 8021,Clothing,Activewear,423,22.16,11.31,6.43,True,2023-09-18 05:20:22
56,Pro Beauty Series 7716,Beauty & Personal Care,Hair Care,913,68.96,39.93,18.15,False,2022-10-18 00:55:10
57,Smart Office Kit 7236,Office Supplies,Stationery,844,13.88,6.17,12.94,True,2023-08-27 20:29:35
58,Standard Clothing Model 9807,Clothing,Mens Tops,883,87.28,52.7,2.87,True,2023-10-08 23:02:48
59,Classic Clothing Line 4497,Clothing,Activewear,371,48.48,27.03,1.66,True,2020-11-13 11:01:45
60,Ultra Books Collection 5380,Books,Education,167,23.9,8.7,12.57,True,2023-11-03 22:24:20
61,Value Office Set 4122,Office Supplies,Stationery,756,63.87,23.13,8.83,True,2021-12-19 08:04:30
62,Elite Food Pack 1519,Food & Grocery,Organic,713,23.2,10.63,13.22,False,2023-10-23 05:06:19
63,Ultra Sports Model 4669,Sports & Outdoors,Camping,665,45.06,16.47,6.29,True,2023-12-14 18:00:27
64,Premium Beauty Series 7485,Beauty & Personal Care,Fragrance,794,31.13,11.3,9.75,True,2019-02-17 18:31:21
65,Smart Electronics Model 4095,Electronics,TVs,324,1653.2,765.91,24.35,True,2022-03-19 06:32:20
66,Premium Office Edition 7713,Office Supplies,Whiteboards,190,79.23,33.22,6.1,False,2021-06-25 21:36:38
67,Eco Office Set 9436,Office Supplies,Printers and Ink,659,90.3,41.11,0.68,False,2022-03-23 09:11:37
68,Classic Electronics Series 6309,Electronics,Laptops,525,195.6,92.14,23.07,True,2022-06-26 15:02:54
69,Eco Clothing Range 5611,Clothing,Womens Tops,512,74.85,28.12,20.11,True,2023-12-24 20:18:17
70,Elite Electronics Model 570,Electronics,TVs,285,74.48,39.61,11.42,True,2022-03-08 19:53:23
71,Pro Clothing Series 8198,Clothing,Mens Tops,822,12.31,5.59,13.36,True,2023-09-23 23:48:29
72,Essential Beauty Series 5425,Beauty & Personal Care,Makeup,239,45.74,26.45,8.45,True,2023-04-03 21:23:41
73,Elite Clothing Pack 3079,Clothing,Activewear,585,10.75,6.96,3.66,True,2023-08-08 23:22:37
74,Smart Electronics Line 8088,Electronics,Cameras,682,213.5,99.16,6.77,True,2022-06-12 09:22:33
75,Elite Clothing Pack 3575,Clothing,Mens Tops,446,76.63,43.88,9.01,True,2020-12-01 23:52:55
76,Value Office Edition 5913,Office Supplies,Desk Accessories,744,19.44,8.53,13.93,True,2022-08-07 13:37:56
77,Value Books Series 4332,Books,Non-Fiction,199,57.4,34.06,7.13,False,2020-11-28 07:07:15
78,Elite Home Kit 5676,Home & Garden,Bedding,199,39.07,21.68,8.14,False,2023-07-01 14:23:38
79,Eco Electronics Series 4681,Electronics,Smartphones,21,31.3,13.3,13.75,True,2023-10-12 21:54:47
80,Smart Office Range 9867,Office Supplies,Printers and Ink,265,34.88,17.03,7.13,True,2021-12-18 15:48:25
81,Premium Beauty Model 4626,Beauty & Personal Care,Skincare,498,63.18,37.39,24.3,True,2019-03-16 07:09:06
82,Ultra Clothing Edition 9206,Clothing,Dresses,685,35.76,20.13,11.21,True,2023-08-31 11:43:01
83,Ultra Electronics Bundle 266,Electronics,Laptops,411,57.74,20.76,20.22,True,2021-09-05 08:03:03
84,Smart Electronics Range 8564,Electronics,Headphones,816,232.89,81.62,17.05,True,2021-09-30 04:12:07
85,Premium Electronics Range 3230,Electronics,Smartphones,341,46.08,26.55,3.47,False,2022-08-04 17:27:52
86,Pro Sports Line 1502,Sports & Outdoors,Team Sports,197,20.04,9.74,19.57,True,2019-11-02 07:23:40
87,Smart Food Collection 4054,Food & Grocery,Organic,133,41.8,21.04,6.27,True,2021-01-30 02:52:06
88,Standard Home Collection 6758,Home & Garden,Bedding,840,18.03,11.53,22.29,True,2021-10-12 20:26:04
89,Premium Automotive Bundle 8104,Automotive,Car Care,271,44.69,17.41,18.07,True,2023-12-12 19:31:07
90,Standard Home Pack 9196,Home & Garden,Decor,589,104.99,37.76,17.96,True,2020-12-28 11:41:13
91,Essential Toys Model 4037,Toys & Games,Video Games,609,23.18,9.43,7.72,True,2020-03-28 08:17:55
92,Classic Toys Bundle 7900,Toys & Games,Puzzles,684,80.64,45.46,9.88,True,2022-09-28 13:05:01
93,Eco Electronics Model 8141,Electronics,Smartphones,379,244.71,99.02,18.31,True,2019-05-25 23:28:46
94,Pro Clothing Collection 7442,Clothing,Footwear,943,15.26,7.76,9.15,False,2022-10-27 11:46:22
95,Standard Books Series 382,Books,Business,544,18.94,11.49,11.38,True,2021-02-05 04:26:53
96,Smart Electronics Bundle 1624,Electronics,Smart Home,36,40.44,24.35,14.02,True,2019-03-10 11:42:02
97,Essential Clothing Collection 4920,Clothing,Mens Tops,689,29.43,12.16,7.53,True,2022-10-15 06:26:49
98,Essential Sports Set 3730,Sports & Outdoors,Camping,437,28.59,17.7,19.11,True,2023-08-05 22:34:57
99,Ultra Office Edition 6725,Office Supplies,Stationery,407,24.9,16.14,6.94,True,2020-12-27 02:40:17
100,Premium Home Pack 4086,Home & Garden,Storage,930,53.13,34.12,1.42,True,2020-01-28 17:00:17
101,Ultra Beauty Collection 5116,Beauty & Personal Care,Vitamins,146,14.38,8.88,19.69,False,2020-10-18 07:03:23
102,Standard Home Collection 9628,Home & Garden,Storage,396,19.32,7.13,9.34,True,2021-10-30 20:31:12
103,Standard Beauty Model 6146,Beauty & Personal Care,Makeup,855,24.27,13.06,21.16,False,2023-11-30 09:47:46
104,Value Sports Bundle 7853,Sports & Outdoors,Camping,382,11.83,5.7,15.63,True,2019-11-14 06:30:56
105,Premium Automotive Series 9168,Automotive,Tools,130,13.99,6.07,20.79,False,2023-08-08 22:04:59
106,Elite Home Range 8798,Home & Garden,Garden Tools,236,23.82,10.59,9.6,True,2023-05-07 00:48:43
107,Elite Books Model 5732,Books,Fiction,667,46.95,29.72,14.03,True,2022-06-27 16:41:09
108,Ultra Books Pack 7071,Books,Education,178,46.91,29.82,0.42,True,2020-08-08 14:02:41
109,Premium Home Set 9117,Home & Garden,Bedding,415,92.58,35.22,6.5,True,2022-01-02 16:12:06
110,Pro Electronics Bundle 5519,Electronics,Cameras,432,118.23,48.6,21.88,True,2023-02-24 11:49:18
111,Elite Electronics Kit 5864,Electronics,Smart Home,854,54.36,34.0,11.08,True,2020-08-05 07:12:07
112,Value Electronics Edition 7534,Electronics,Laptops,69,231.27,123.54,15.93,False,2022-12-04 18:21:18
113,Premium Automotive Collection 4538,Automotive,Exterior,145,78.79,44.27,7.07,True,2023-06-23 12:47:46
114,Eco Clothing Series 5123,Clothing,Activewear,43,33.44,15.19,21.33,True,2020-11-23 05:20:38
115,Pro Clothing Kit 4218,Clothing,Dresses,455,70.26,29.68,14.88,True,2020-06-05 02:18:21
116,Elite Toys Model 3877,Toys & Games,Educational,146,28.49,13.78,22.71,True,2022-03-13 23:14:19
117,Value Clothing Kit 2076,Clothing,Mens Tops,767,12.03,5.44,6.17,True,2022-12-24 21:46:29
118,Essential Sports Range 3255,Sports & Outdoors,Fitness Equipment,194,36.7,23.24,18.21,False,2023-10-01 02:15:32
119,Elite Electronics Bundle 5269,Electronics,Tablets,799,124.06,49.56,0.61,True,2022-03-23 12:53:41
120,Premium Food Kit 2058,Food & Grocery,Beverages,63,12.92,8.37,14.99,True,2023-07-31 10:05:12
121,Elite Automotive Bundle 8879,Automotive,Car Electronics,284,21.88,13.61,7.61,True,2021-04-14 11:21:13
122,Ultra Automotive Model 3133,Automotive,Interior Accessories,707,52.92,27.59,3.17,False,2020-10-12 07:16:39
123,Premium Home Edition 3238,Home & Garden,Kitchen,393,67.17,30.41,15.71,True,2021-07-02 17:43:38
124,Ultra Beauty Bundle 3645,Beauty & Personal Care,Makeup,609,87.14,49.42,0.82,True,2021-05-23 18:44:51
125,Ultra Electronics Pack 8033,Electronics,Tablets,28,79.82,39.45,3.99,True,2021-08-04 21:04:58
126,Standard Electronics Edition 4630,Electronics,Smartphones,508,148.35,68.61,9.33,True,2020-12-22 13:07:00
127,Smart Electronics Kit 9759,Electronics,Laptops,988,61.75,27.77,11.23,True,2021-07-19 15:56:12
128,Smart Sports Bundle 8695,Sports & Outdoors,Water Sports,760,88.17,32.98,22.72,True,2023-12-03 22:32:32
129,Essential Home Kit 9877,Home & Garden,Garden Tools,914,24.39,11.72,8.44,True,2022-10-16 13:46:23
130,Eco Sports Pack 4736,Sports & Outdoors,Water Sports,655,22.76,9.66,1.37,True,2020-09-27 16:54:54
131,Smart Electronics Bundle 1747,Electronics,TVs,459,104.02,37.01,24.06,True,2020-01-20 15:50:16
132,Premium Home Range 3280,Home & Garden,Lighting,985,35.64,14.97,20.79,True,2021-11-28 01:01:46
133,Elite Toys Series 4953,Toys & Games,Educational,773,53.42,22.46,5.76,True,2020-10-06 10:18:51
134,Eco Home Line 3827,Home & Garden,Bedding,809,85.81,37.81,12.93,True,2023-03-01 17:56:08
135,Value Toys Kit 6012,Toys & Games,Educational,622,47.79,30.28,3.97,True,2023-01-05 02:52:42
136,Classic Clothing Pack 3039,Clothing,Outerwear,731,47.86,29.67,23.9,True,2023-12-12 20:04:24
137,Essential Beauty Edition 5052,Beauty & Personal Care,Fragrance,76,137.26,49.36,12.95,True,2023-04-05 13:05:16
138,Eco Sports Series 331,Sports & Outdoors,Team Sports,202,22.7,9.57,11.85,True,2023-07-03 03:52:49
139,Smart Clothing Edition 8851,Clothing,Activewear,201,49.66,23.97,20.74,False,2022-07-08 07:35:02
140,Premium Clothing Set 2173,Clothing,Outerwear,768,58.7,25.44,3.31,True,2022-02-03 02:19:27
141,Smart Books Kit 4594,Books,Childrens,373,35.68,16.72,6.68,False,2023-11-01 01:41:58
142,Ultra Beauty Set 845,Beauty & Personal Care,Fragrance,322,27.17,16.28,18.34,True,2023-09-19 05:22:20
143,Smart Home Set 993,Home & Garden,Lighting,329,18.39,9.58,15.39,True,2019-08-27 22:01:39
144,Standard Clothing Series 9166,Clothing,Dresses,367,83.7,39.82,4.06,True,2021-12-27 09:20:15
145,Smart Automotive Bundle 4886,Automotive,Car Care,632,47.84,23.72,5.35,True,2022-12-14 21:54:30
146,Elite Books Edition 2168,Books,Business,179,50.25,21.73,22.01,True,2021-03-05 07:17:00
147,Ultra Home Model 8142,Home & Garden,Furniture,127,38.16,15.76,20.61,True,2023-10-25 23:09:17
148,Essential Home Series 1780,Home & Garden,Lighting,144,97.37,40.28,0.47,True,2023-05-06 05:28:24
149,Elite Clothing Collection 300,Clothing,Activewear,193,41.3,24.35,23.79,False,2022-11-16 08:32:57
150,Pro Books Range 9505,Books,Childrens,469,43.05,17.57,14.58,True,2020-02-24 18:08:25
151,Value Clothing Pack 4758,Clothing,Jeans,242,25.27,15.75,11.83,True,2023-03-05 05:22:33
152,Ultra Office Kit 7790,Office Supplies,Desk Accessories,57,82.79,40.14,8.95,True,2021-04-24 11:19:04
153,Eco Home Edition 7943,Home & Garden,Furniture,421,93.15,47.51,9.46,True,2023-09-17 00:35:05
154,Value Home Series 7316,Home & Garden,Lighting,679,14.25,7.6,12.42,True,2021-10-23 00:42:27
155,Essential Sports Series 5682,Sports & Outdoors,Team Sports,577,31.0,13.7,5.34,True,2020-12-31 11:18:26
156,Premium Food Pack 3120,Food & Grocery,Organic,433,22.45,13.89,3.37,False,2021-02-10 15:53:21
157,Standard Beauty Collection 941,Beauty & Personal Care,Makeup,47,51.25,27.29,14.07,True,2023-10-16 17:08:43
158,Essential Home Collection 4236,Home & Garden,Garden Tools,424,49.06,30.41,11.38,True,2021-01-14 14:43:49
159,Premium Toys Pack 7927,Toys & Games,Video Games,398,68.68,34.49,16.96,True,2022-08-24 18:39:30
160,Premium Sports Bundle 1969,Sports & Outdoors,Team Sports,296,27.72,10.03,12.37,True,2022-07-11 04:41:10
161,Eco Home Collection 1170,Home & Garden,Lighting,304,41.94,15.07,9.87,True,2021-01-15 15:46:19
162,Standard Electronics Kit 6665,Electronics,TVs,236,299.81,132.61,8.65,True,2022-03-26 15:32:24
163,Essential Home Range 8156,Home & Garden,Garden Tools,416,16.9,10.21,14.48,True,2020-11-21 20:03:44
164,Ultra Clothing Collection 1313,Clothing,Footwear,984,19.97,8.59,7.04,False,2022-05-23 13:15:16
165,Elite Food Pack 9553,Food & Grocery,Snacks,807,11.39,5.64,20.46,True,2022-07-01 23:15:39
166,Elite Clothing Collection 978,Clothing,Jeans,613,108.09,44.37,19.86,True,2019-06-10 13:03:23
167,Elite Food Pack 2585,Food & Grocery,Organic,673,18.62,10.71,16.13,True,2021-03-04 02:47:06
168,Pro Sports Model 2544,Sports & Outdoors,Water Sports,414,34.03,18.75,9.7,True,2019-12-05 11:20:03
169,Classic Books Range 9321,Books,Science and Tech,120,56.13,34.84,15.09,True,2023-01-02 10:39:26
170,Value Sports Series 5078,Sports & Outdoors,Camping,666,30.48,13.91,15.58,True,2022-07-29 14:30:40
171,Elite Electronics Edition 1495,Electronics,Smartphones,555,218.06,140.75,16.97,True,2021-06-21 03:50:44
172,Eco Clothing Kit 4166,Clothing,Mens Tops,439,33.25,20.39,9.6,True,2022-10-02 14:24:24
173,Value Electronics Edition 2040,Electronics,Cameras,556,539.24,261.28,10.5,True,2021-09-20 14:16:42
174,Standard Books Collection 9243,Books,Non-Fiction,78,35.64,21.67,22.78,True,2020-10-25 13:09:39
175,Smart Home Model 6918,Home & Garden,Lighting,332,18.69,8.92,2.85,True,2022-08-06 05:35:21
176,Essential Beauty Collection 9866,Beauty & Personal Care,Vitamins,108,168.08,98.54,3.38,True,2023-02-17 20:54:18
177,Classic Clothing Range 3797,Clothing,Mens Tops,387,89.05,40.79,24.77,True,2023-08-06 00:34:42
178,Ultra Electronics Pack 8661,Electronics,Laptops,7,187.02,79.78,15.62,False,2023-12-01 21:06:17
179,Smart Home Edition 6332,Home & Garden,Kitchen,853,23.19,13.25,11.52,True,2021-05-13 08:14:38
180,Standard Food Set 7481,Food & Grocery,Snacks,570,24.31,15.54,3.09,True,2022-12-27 18:10:12
181,Standard Toys Collection 7353,Toys & Games,Educational,859,35.7,20.28,16.13,True,2019-10-14 17:33:13
182,Eco Home Bundle 4971,Home & Garden,Kitchen,394,22.79,14.65,19.41,True,2021-12-22 03:09:37
183,Eco Sports Range 9742,Sports & Outdoors,Cycling,522,43.77,27.41,13.33,True,2022-07-31 12:03:04
184,Ultra Electronics Line 7125,Electronics,Laptops,228,273.95,130.92,1.33,True,2023-05-29 22:07:39
185,Ultra Office Range 5103,Office Supplies,Whiteboards,977,30.8,15.45,12.82,True,2020-02-15 21:16:42
186,Premium Books Line 9416,Books,Fiction,170,40.98,16.68,3.9,True,2019-01-18 20:48:06
187,Classic Clothing Model 1086,Clothing,Footwear,34,20.65,9.95,10.87,True,2020-12-23 21:28:03
188,Premium Sports Kit 1725,Sports & Outdoors,Running,722,91.91,53.32,7.39,True,2020-08-27 13:30:33
189,Eco Electronics Series 3504,Electronics,Tablets,154,65.38,33.13,3.35,True,2023-02-09 16:32:07
190,Elite Office Range 3557,Office Supplies,Desk Accessories,828,93.41,59.97,1.28,True,2023-06-30 13:25:42
191,Premium Electronics Range 4435,Electronics,Smartphones,130,255.2,98.12,15.01,True,2023-09-19 05:56:04
192,Pro Books Collection 1430,Books,Non-Fiction,713,11.46,5.76,14.36,True,2021-12-17 01:50:53
193,Ultra Clothing Kit 2673,Clothing,Jeans,557,85.54,43.59,4.08,True,2022-11-10 16:05:46
194,Value Toys Range 4029,Toys & Games,Action Figures,5,49.71,19.62,22.95,True,2021-07-23 11:59:19
195,Elite Beauty Edition 2947,Beauty & Personal Care,Fragrance,26,48.19,28.39,21.87,True,2020-01-08 15:47:33
196,Essential Books Collection 9143,Books,Education,500,16.66,9.92,6.8,True,2023-09-14 11:20:19
197,Pro Books Bundle 1329,Books,Fiction,745,35.5,21.98,12.65,True,2022-06-30 03:08:05
198,Value Automotive Bundle 2664,Automotive,Tools,335,63.57,40.12,12.71,True,2023-02-06 04:57:29
199,Standard Electronics Collection 143,Electronics,Cameras,409,92.35,53.03,4.59,True,2020-11-09 00:16:56
200,Value Clothing Model 6793,Clothing,Outerwear,794,74.81,45.07,9.95,True,2022-12-03 02:39:58
201,Eco Clothing Line 7481,Clothing,Dresses,92,87.12,32.4,15.98,False,2021-08-17 11:07:49
202,Value Office Set 9829,Office Supplies,Filing,727,17.26,8.03,12.56,True,2021-02-13 15:02:13
203,Smart Home Line 7799,Home & Garden,Kitchen,597,27.0,11.76,9.6,True,2022-06-05 08:59:47
204,Premium Toys Set 4871,Toys & Games,Outdoor Play,534,25.81,15.18,11.03,True,2019-02-24 01:07:37
205,Essential Toys Model 634,Toys & Games,Action Figures,403,129.38,57.26,16.12,False,2023-11-07 13:24:59
206,Standard Clothing Pack 3892,Clothing,Outerwear,498,40.57,20.3,23.03,True,2020-08-13 13:25:25
207,Ultra Clothing Edition 4820,Clothing,Jeans,778,57.07,27.23,22.95,True,2021-06-20 09:32:20
208,Elite Clothing Pack 4732,Clothing,Outerwear,42,25.7,14.84,21.13,True,2022-10-02 23:01:28
209,Essential Home Bundle 7538,Home & Garden,Storage,484,46.47,24.31,11.28,False,2023-11-08 08:33:50
210,Elite Clothing Model 1266,Clothing,Outerwear,159,30.01,14.06,24.77,True,2020-11-13 22:34:36
211,Elite Electronics Bundle 3924,Electronics,Tablets,671,48.04,18.7,4.06,True,2023-11-06 15:06:38
212,Smart Automotive Set 4434,Automotive,Tools,355,29.39,11.73,11.6,True,2021-12-27 12:25:53
213,Premium Office Collection 9763,Office Supplies,Desk Accessories,500,52.59,29.79,13.55,True,2022-07-24 21:20:29
214,Smart Clothing Model 3341,Clothing,Outerwear,250,484.76,174.54,24.34,True,2020-10-18 07:34:33
215,Pro Clothing Bundle 7065,Clothing,Womens Tops,331,18.1,8.72,12.08,True,2022-09-20 22:36:25
216,Standard Electronics Collection 1980,Electronics,Cameras,849,100.47,57.17,16.35,True,2020-03-27 05:47:37
217,Essential Toys Range 9022,Toys & Games,Action Figures,737,53.26,24.47,5.94,True,2019-04-03 23:10:17
218,Elite Beauty Set 3783,Beauty & Personal Care,Fragrance,214,79.8,43.51,13.13,True,2022-03-27 18:06:32
219,Elite Electronics Kit 2541,Electronics,Laptops,363,344.27,199.91,16.47,True,2022-09-23 04:35:18
220,Ultra Electronics Line 4452,Electronics,Smartphones,474,106.85,65.61,5.78,True,2020-12-15 13:54:08
221,Classic Beauty Range 2430,Beauty & Personal Care,Personal Hygiene,420,75.42,31.47,13.09,True,2019-11-16 05:13:57
222,Eco Books Kit 1269,Books,Childrens,240,12.66,7.11,16.48,True,2019-06-11 00:02:56
223,Value Electronics Collection 1077,Electronics,Cameras,450,46.52,24.08,7.0,True,2019-10-21 19:30:18
224,Pro Books Kit 2818,Books,Fiction,800,56.99,27.79,11.69,True,2020-06-21 00:12:28
225,Value Clothing Kit 5139,Clothing,Jeans,67,14.74,7.01,20.38,True,2023-05-13 20:09:48
226,Elite Clothing Edition 9849,Clothing,Mens Tops,888,74.88,45.82,13.5,True,2022-12-27 10:49:05
227,Value Beauty Pack 9425,Beauty & Personal Care,Fragrance,870,49.7,20.07,5.46,True,2023-04-13 13:33:30
228,Smart Beauty Model 4828,Beauty & Personal Care,Skincare,191,9.35,5.46,5.43,True,2021-09-06 00:58:26
229,Eco Home Edition 7295,Home & Garden,Bedding,370,68.29,25.47,17.69,False,2023-11-02 10:50:29
230,Value Food Set 2137,Food & Grocery,International Foods,279,32.96,16.95,7.13,True,2023-09-26 17:23:57
231,Premium Home Pack 7779,Home & Garden,Lighting,50,91.27,36.32,0.7,False,2023-03-12 13:52:21
232,Essential Beauty Range 5082,Beauty & Personal Care,Vitamins,321,37.97,18.52,21.32,False,2022-05-21 18:35:39
233,Smart Home Set 6694,Home & Garden,Furniture,709,66.96,33.13,0.57,True,2020-01-14 02:35:21
234,Smart Automotive Edition 4560,Automotive,Exterior,172,62.79,35.77,13.77,False,2023-11-07 14:13:06
235,Eco Food Line 8299,Food & Grocery,Condiments,698,21.16,8.73,5.65,True,2023-03-09 20:53:26
236,Eco Electronics Bundle 8947,Electronics,Laptops,697,534.32,234.3,19.45,True,2023-12-04 21:38:04
237,Eco Food Series 8190,Food & Grocery,Organic,677,25.23,12.62,3.56,True,2023-03-04 15:26:48
238,Essential Beauty Line 7272,Beauty & Personal Care,Vitamins,449,23.5,13.56,21.39,True,2021-06-03 00:32:07
239,Ultra Beauty Bundle 1417,Beauty & Personal Care,Skincare,18,90.29,46.35,14.31,True,2023-03-12 17:53:50
240,Ultra Clothing Set 9898,Clothing,Footwear,372,50.6,29.76,4.31,True,2022-08-20 09:37:05
241,Classic Beauty Collection 753,Beauty & Personal Care,Personal Hygiene,389,205.61,112.34,16.25,True,2022-09-25 02:02:43
242,Smart Automotive Edition 7178,Automotive,Interior Accessories,466,20.37,12.75,0.83,True,2023-04-28 15:26:56
243,Value Clothing Series 5380,Clothing,Outerwear,611,71.55,39.4,15.05,True,2023-06-11 09:35:53
244,Essential Food Series 9991,Food & Grocery,Condiments,630,60.92,27.65,18.64,True,2021-02-01 07:31:48
245,Standard Electronics Model 4202,Electronics,Smart Home,246,75.44,28.69,12.05,True,2023-11-08 10:27:32
246,Premium Electronics Pack 523,Electronics,Smart Home,96,148.51,83.36,3.81,True,2023-11-10 23:14:29
247,Pro Sports Bundle 1596,Sports & Outdoors,Team Sports,922,75.43,48.63,5.02,True,2022-04-06 06:28:55
248,Eco Sports Edition 3850,Sports & Outdoors,Camping,289,64.58,32.05,3.74,True,2020-05-18 20:53:08
249,Value Books Line 9524,Books,Non-Fiction,810,6.3,2.46,10.16,True,2021-09-04 08:16:25
